en_name,ingredients,course,province,region
Kanom Wong,Rice flour+sugar+coconut milk,snack,Various,Various
Kanom Mor Kaeng,Flour+coconut+sugar,dessert,Various,Various
Kanom Hua Lan,Unknown,dessert,Unknown,Unknown
Khao Jee,Glutinous rice+egg+sugar,snack,Various,Various
Khao Daek Nga,Rice flour+sesame+sugar,snack,Various,Various
Khao Tom Nam Woon,Glutinous rice+coconut milk+sugar,dessert,Various,Various
Khao Tu,Rice flour+sugar+coconut milk,snack,Various,Various
Khao Pong,Rice flour+sugar+coconut milk,snack,Various,Various
Khao Mao,Unknown,dessert,Unknown,Unknown
Khao Ya Khu,Unknown,dessert,Unknown,Unknown
Khao Lam,Glutinous rice+coconut milk+sugar,dessert,Various,Various
Khao Niao Mamuang,Glutinous rice+ripe mango+coconut milk,dessert,Various,Various
Khanom,Unknown,dessert,Unknown,Unknown
Ja Mongkut,Unknown,dessert,Unknown,Unknown
Chao Kuai,Grass jelly+herbs+sugar,dessert,Various,Various
Sa Rim,Flour+coconut milk+sugar,dessert,Various,Various
Dara Thong,Unknown,dessert,Unknown,Unknown
Tu Bo,Unknown,dessert,Unknown,Unknown
Tau Huai,Soy milk+herbs+sugar,dessert,Various,Various
Thu Kiao Tom Nam Tan,Mung beans+sugar+coconut milk,dessert,Various,Various
Thong Muon,Rice flour+coconut milk+sugar,snack,Various,Various
Thong Yod,Flour+sugar+egg yolk,dessert,Various,Various
Thong Yip,Flour+sugar+egg yolk,dessert,Various,Various
Thong Ek,Flour+sugar+egg yolk,dessert,Various,Various
Tub Tim Grob,Chestnuts+flour+coconut milk,dessert,Various,Various
Nam Khaeng Sai,Ice+flavored syrup+fruit,dessert,Various,Various
Phi Tai Wak,Unknown,dessert,Unknown,Unknown
Foi Thong,Flour+sugar+egg yolk,dessert,Various,Various
Fak Khiao Kwan,Wax gourd+sugar+coconut milk,dessert,Various,Various
Mamoung Kwan,Unknown,dessert,Unknown,Unknown
Maskot,Unknown,dessert,Unknown,Unknown
Med Kanoon,Green beans+sugar+egg yolk,dessert,Various,Various
Rai Rai,Unknown,dessert,Unknown,Unknown
Roti,Flour+oil+sugar,snack,Various,Various
Roti Sai Mai,Flour+sugar+cotton candy,snack,Various,Various
Lot Chong,Flour+pandan+coconut milk,dessert,Various,Various
Luk Chup,Mung beans+coconut milk+sugar,dessert,Various,Various
Som Chun,Herbs+fruit+fish sauce,salad,Various,Various
Sankhaya Kuan,Flour+coconut milk+egg,dessert,Various,Various
Sankhaya Nueng,Flour+coconut milk+egg,dessert,Various,Various
Ang Ku,Unknown,dessert,Unknown,Unknown
A Kao,Unknown,dessert,Unknown,Unknown
A Law,Unknown,dessert,Unknown,Unknown
A Law,Unknown,dessert,Unknown,Unknown
O Aew,Unknown,dessert,Unknown,Unknown
Ice Cream Pad,Unknown,dessert,Unknown,Unknown
